,매장명,주소,전화번호,주차여부
0,경성대점,"부산 남구 진남로 159 (대연동, 대연동에스케이뷰아파트) 106-1002",051-611-0927,무
1,대동사거리점,부산 해운대구 좌동 1396 대림아파트 상가 101호,051-701-0555,무
2,용호자이점,"부산 남구 신선로 566 (용호동, GS하이츠자이) 401동 126-1호",051-623-8238,무
3,통영죽림점,"경남 통영시 광도면 죽림해안로 136 (죽림리, 덕원빌딩) 1층",055-645-8882,무
4,수영역점,"부산 수영구 연수로 411 (수영동, SK 강일주유소) 1 ~ 2층 (수영동)",051-754-5455,유
5,덕천점,부산 북구 만덕대로 15 (덕천동) 1층 (덕천동),051-336-3334,무
6,범천점,부산 부산진구 중앙대로635번길 14 (범천동) 1층 (범천동),051-633-1777,무
7,연산토곡점,부산 연제구 과정로 148 (연산동) 1층 (연산동 KL빌딩),070-4270-2254,무
8,하양점,경북 경산시 하양읍 서사도리9로 25 (서사리) 1층 107호,053-856-8889,무
9,초읍 GS더프레시점,부산 부산진구 새싹로 244 (초읍동) 1층,010-2514-1047,유
10,울산 태화점,울산 중구 화진1길 3 (태화동) ,052-248-6480,무
11,인천 테크노밸리점,"인천 부평구 주부토로 236 (갈산동) A동 1층 156호 (갈산동, 인천테크노밸리U1 CENTER)",032-209-1388,무
12,청주 산남점,"충북 청주시 서원구 산남로 60 (산남동, RS타워) 104호",043-288-0343,유
13,울산 혁신도시점,"울산 중구 종가로 310 (우정동, M빌딩) M123호",052-248-4951,무
14,율하2지구점,경남 김해시 율하로 488-1 (장유동) 위드플러스 106호,055-324-2202,유
15,부산대학교병원점,"부산 남구 진남로 159 (대연동, 대연동에스케이뷰아파트) 106-1002",051-611-0927,무
16,정관 달산점,부산 해운대구 좌동 1396 대림아파트 상가 101호,051-701-0555,무
17,거제 장평점,"부산 남구 신선로 566 (용호동, GS하이츠자이) 401동 126-1호",051-623-8238,무
18,천안 아르떼점,"경남 통영시 광도면 죽림해안로 136 (죽림리, 덕원빌딩) 1층",055-645-8882,무
19,김해 서부경찰서점,"부산 수영구 연수로 411 (수영동, SK 강일주유소) 1 ~ 2층 (수영동)",051-754-5455,유
20,일산 마두역점,부산 북구 만덕대로 15 (덕천동) 1층 (덕천동),051-336-3334,무
21,울산 우정혁신점,부산 부산진구 중앙대로635번길 14 (범천동) 1층 (범천동),051-633-1777,무
